module_name,rel_path,remove,category,reason
w1_ds2408,kernel/drivers/w1/slaves/w1_ds2408.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2413,kernel/drivers/w1/slaves/w1_ds2413.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2423,kernel/drivers/w1/slaves/w1_ds2423.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2430,kernel/drivers/w1/slaves/w1_ds2430.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2431,kernel/drivers/w1/slaves/w1_ds2431.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2433,kernel/drivers/w1/slaves/w1_ds2433.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2438,kernel/drivers/w1/slaves/w1_ds2438.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds250x,kernel/drivers/w1/slaves/w1_ds250x.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2780,kernel/drivers/w1/slaves/w1_ds2780.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2781,kernel/drivers/w1/slaves/w1_ds2781.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds2805,kernel/drivers/w1/slaves/w1_ds2805.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds28e04,kernel/drivers/w1/slaves/w1_ds28e04.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_ds28e17,kernel/drivers/w1/slaves/w1_ds28e17.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_smem,kernel/drivers/w1/slaves/w1_smem.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
w1_therm,kernel/drivers/w1/slaves/w1_therm.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
wire,kernel/drivers/w1/wire.ko.zst,Yes,1-Wire Bus,Dallas 1-Wire hardware bus controllers not applicable to cloud VMs.
algif_hash,kernel/crypto/algif_hash.ko.zst,Yes,AF_ALG Userspace Crypto Sockets,AF_ALG userspace cryptographic socket interface (companion to algif_aead); frequent historical vector for local privilege escalation CVEs.
algif_rng,kernel/crypto/algif_rng.ko.zst,Yes,AF_ALG Userspace Crypto Sockets,AF_ALG userspace cryptographic socket interface (companion to algif_aead); frequent historical vector for local privilege escalation CVEs.
algif_skcipher,kernel/crypto/algif_skcipher.ko.zst,Yes,AF_ALG Userspace Crypto Sockets,AF_ALG userspace cryptographic socket interface (companion to algif_aead); frequent historical vector for local privilege escalation CVEs.
amdxdna,kernel/drivers/accel/amdxdna/amdxdna.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (amdxdna); unneeded on BOSH stemcell VMs."
binder_linux,kernel/drivers/android/binder_linux.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (binder_linux); unneeded on BOSH stemcell VMs."
habanalabs,kernel/drivers/accel/habanalabs/habanalabs.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (habanalabs); unneeded on BOSH stemcell VMs."
hung_task_tests,kernel/samples/hung_task/hung_task_tests.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (hung_task_tests); unneeded on BOSH stemcell VMs."
intel_vpu,kernel/drivers/accel/ivpu/intel_vpu.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (intel_vpu); unneeded on BOSH stemcell VMs."
mock_file,kernel/io_uring/mock_file.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (mock_file); unneeded on BOSH stemcell VMs."
qaic,kernel/drivers/accel/qaic/qaic.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (qaic); unneeded on BOSH stemcell VMs."
sample-trace-array,kernel/samples/ftrace/sample-trace-array.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (sample-trace-array); unneeded on BOSH stemcell VMs."
trace-printk,kernel/samples/trace_printk/trace-printk.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (trace-printk); unneeded on BOSH stemcell VMs."
tsm_mr_sample,kernel/samples/tsm-mr/tsm_mr_sample.ko.zst,Yes,AI Accelerators & Testing Code,"AI accelerator card, Android binder, or kernel test sample module (tsm_mr_sample); unneeded on BOSH stemcell VMs."
cfag12864b,kernel/drivers/auxdisplay/cfag12864b.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
cfag12864bfb,kernel/drivers/auxdisplay/cfag12864bfb.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
charlcd,kernel/drivers/auxdisplay/charlcd.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
hd44780,kernel/drivers/auxdisplay/hd44780.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
hd44780_common,kernel/drivers/auxdisplay/hd44780_common.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
ht16k33,kernel/drivers/auxdisplay/ht16k33.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
img-ascii-lcd,kernel/drivers/auxdisplay/img-ascii-lcd.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
ks0108,kernel/drivers/auxdisplay/ks0108.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
lcd2s,kernel/drivers/auxdisplay/lcd2s.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
line-display,kernel/drivers/auxdisplay/line-display.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
max6959,kernel/drivers/auxdisplay/max6959.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
panel,kernel/drivers/auxdisplay/panel.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
seg-led-gpio,kernel/drivers/auxdisplay/seg-led-gpio.ko.zst,Yes,Auxiliary LCD Displays,Character LCD displays / matrix display hardware not applicable to cloud VMs.
88pm860x_battery,kernel/drivers/power/supply/88pm860x_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
88pm860x_charger,kernel/drivers/power/supply/88pm860x_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
adc-battery-helper,kernel/drivers/power/supply/adc-battery-helper.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
adp5061,kernel/drivers/power/supply/adp5061.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
axp20x_ac_power,kernel/drivers/power/supply/axp20x_ac_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
axp20x_battery,kernel/drivers/power/supply/axp20x_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
axp20x_usb_power,kernel/drivers/power/supply/axp20x_usb_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
axp288_charger,kernel/drivers/power/supply/axp288_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
axp288_fuel_gauge,kernel/drivers/power/supply/axp288_fuel_gauge.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bd99954-charger,kernel/drivers/power/supply/bd99954-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq2415x_charger,kernel/drivers/power/supply/bq2415x_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq24190_charger,kernel/drivers/power/supply/bq24190_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq24257_charger,kernel/drivers/power/supply/bq24257_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq24735-charger,kernel/drivers/power/supply/bq24735-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq2515x_charger,kernel/drivers/power/supply/bq2515x_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq256xx_charger,kernel/drivers/power/supply/bq256xx_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq257xx_charger,kernel/drivers/power/supply/bq257xx_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq25890_charger,kernel/drivers/power/supply/bq25890_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq25980_charger,kernel/drivers/power/supply/bq25980_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq27xxx_battery,kernel/drivers/power/supply/bq27xxx_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq27xxx_battery_hdq,kernel/drivers/power/supply/bq27xxx_battery_hdq.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
bq27xxx_battery_i2c,kernel/drivers/power/supply/bq27xxx_battery_i2c.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
chagall-battery,kernel/drivers/power/supply/chagall-battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
cros_charge-control,kernel/drivers/power/supply/cros_charge-control.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
cros_peripheral_charger,kernel/drivers/power/supply/cros_peripheral_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
cros_usbpd-charger,kernel/drivers/power/supply/cros_usbpd-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
cw2015_battery,kernel/drivers/power/supply/cw2015_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
da9030_battery,kernel/drivers/power/supply/da9030_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
da9052-battery,kernel/drivers/power/supply/da9052-battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
da9150-charger,kernel/drivers/power/supply/da9150-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
da9150-fg,kernel/drivers/power/supply/da9150-fg.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ds2760_battery,kernel/drivers/power/supply/ds2760_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ds2780_battery,kernel/drivers/power/supply/ds2780_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ds2781_battery,kernel/drivers/power/supply/ds2781_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ds2782_battery,kernel/drivers/power/supply/ds2782_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
generic-adc-battery,kernel/drivers/power/supply/generic-adc-battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
goldfish_battery,kernel/drivers/power/supply/goldfish_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
gpio-charger,kernel/drivers/power/supply/gpio-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
intel_dc_ti_battery,kernel/drivers/power/supply/intel_dc_ti_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ip5xxx_power,kernel/drivers/power/supply/ip5xxx_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
isp1704_charger,kernel/drivers/power/supply/isp1704_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
lp8727_charger,kernel/drivers/power/supply/lp8727_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
lp8788-charger,kernel/drivers/power/supply/lp8788-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
lt3651-charger,kernel/drivers/power/supply/lt3651-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ltc2941-battery-gauge,kernel/drivers/power/supply/ltc2941-battery-gauge.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ltc4162-l-charger,kernel/drivers/power/supply/ltc4162-l-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max14577_charger,kernel/drivers/power/supply/max14577_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max17040_battery,kernel/drivers/power/supply/max17040_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max17042_battery,kernel/drivers/power/supply/max17042_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max1720x_battery,kernel/drivers/power/supply/max1720x_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max1721x_battery,kernel/drivers/power/supply/max1721x_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max77693_charger,kernel/drivers/power/supply/max77693_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max77705_charger,kernel/drivers/power/supply/max77705_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max77976_charger,kernel/drivers/power/supply/max77976_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max8903_charger,kernel/drivers/power/supply/max8903_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max8925_power,kernel/drivers/power/supply/max8925_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max8971_charger,kernel/drivers/power/supply/max8971_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max8997_charger,kernel/drivers/power/supply/max8997_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
max8998_charger,kernel/drivers/power/supply/max8998_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
mm8013,kernel/drivers/power/supply/mm8013.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
mp2629_charger,kernel/drivers/power/supply/mp2629_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
mt6360_charger,kernel/drivers/power/supply/mt6360_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
mt6370-charger,kernel/drivers/power/supply/mt6370-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rt5033_battery,kernel/drivers/power/supply/rt5033_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rt5033_charger,kernel/drivers/power/supply/rt5033_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rt9455_charger,kernel/drivers/power/supply/rt9455_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rt9467-charger,kernel/drivers/power/supply/rt9467-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rt9471,kernel/drivers/power/supply/rt9471.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rt9756,kernel/drivers/power/supply/rt9756.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
rx51_battery,kernel/drivers/power/supply/rx51_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
sbs-battery,kernel/drivers/power/supply/sbs-battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
sbs-charger,kernel/drivers/power/supply/sbs-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
sbs-manager,kernel/drivers/power/supply/sbs-manager.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
smb347-charger,kernel/drivers/power/supply/smb347-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
stc3117_fuel_gauge,kernel/drivers/power/supply/stc3117_fuel_gauge.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
surface_battery,kernel/drivers/power/supply/surface_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
surface_charger,kernel/drivers/power/supply/surface_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
test_power,kernel/drivers/power/supply/test_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
tps65090-charger,kernel/drivers/power/supply/tps65090-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
twl4030_charger,kernel/drivers/power/supply/twl4030_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
twl4030_madc_battery,kernel/drivers/power/supply/twl4030_madc_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
twl6030_charger,kernel/drivers/power/supply/twl6030_charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ug3105_battery,kernel/drivers/power/supply/ug3105_battery.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
wilco-charger,kernel/drivers/power/supply/wilco-charger.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
wm831x_backup,kernel/drivers/power/supply/wm831x_backup.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
wm831x_power,kernel/drivers/power/supply/wm831x_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
wm8350_power,kernel/drivers/power/supply/wm8350_power.ko.zst,Yes,Battery & Charger Hardware,"Physical battery chargers, fuel gauges, and PMIC power supply drivers not applicable to cloud VMs."
ath3k,kernel/drivers/bluetooth/ath3k.ko.zst,Yes,Bluetooth Subsystem & Drivers,Bluetooth hardware drivers and protocols unneeded on cloud VMs; complements existing bluetooth core disabled in apply.sh.
bcm203x,kernel/drivers/bluetooth/bcm203x.ko.zst,Yes,Bluetooth Subsystem & Drivers,Bluetooth hardware drivers and protocols unneeded on cloud VMs; complements existing bluetooth core disabled in apply.sh.
bfusb,kernel/drivers/bluetooth/bfusb.ko.zst,Yes,Bluetooth Subsystem & Drivers,Bluetooth hardware drivers and protocols unneeded on cloud VMs; complements existing bluetooth core disabled in apply.sh.
bluecard_cs,kernel/drivers/bluetooth/bluecard_cs.ko.zst,Yes,Bluetooth Subsystem & Drivers,Bluetooth hardware drivers and protocols unneeded on cloud VMs; complements existing bluetooth core disabled in apply.sh.
bluetooth_6lowpan,kernel/net/bluetooth/bluetooth_6lowpan.ko.zst,Yes,Bluetooth Subsystem & Drivers,Bluetooth hardware drivers and protocols unneeded on cloud VMs; complements existing bluetooth core disabled in apply.sh.
bnep,kernel/net/bluetooth/bnep/bnep.ko.zst,Yes,Bluetooth Subsystem & Drivers,Bluetooth hardware drivers and protocols unneeded on cloud VMs; complements existing bluetooth core disabled in apply.sh.
